"dNBR","severity","slope","mass_burnt_pct","surface_consumption","canopy_consumption","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
392,3,21.8138694763184,64.1143582536777,0.868136297519086,0.891598240453103,1139.83983350966,1014.43222222222,1448.56666666667,0.0228690241126526,500,"American","Caldor"
483,3,14.5370445251465,67.1555058519977,0.839009309213272,0.86816168803062,1129.32796888563,898.367777777778,1511.9,0.0229361117177798,500,"American","Caldor"
493,3,11.5476207733154,58.0947125888937,0.661465682141586,0.682823495109462,949.849074978299,710.551111111111,1324.96666666667,0.0182152043264804,500,"American","Caldor"
405,3,16.2581958770752,54.3730817167347,0.527033749167523,0.540857626764078,893.132341376411,625.993333333333,1059.46666666667,0.0151941642584914,500,"American","Caldor"
829,4,23.0315685272217,32.6098400038398,0.285373571266472,0.290974400633066,529.583451639811,381.576666666667,555.2,0.00853309743990798,500,"American","Caldor"
1097,4,26.1826915740967,3.77973215358125,0.0279278806528439,0.0280884030745882,54.3075383504232,45.7844444444444,58.2,0.000913820161727017,500,"American","Caldor"
1100,4,27.3223934173584,0,0,0,0,0,0,0,500,"American","Caldor"
222,2,26.0899124145508,15.0285088550299,0.250586621637922,0.250790349811626,312.663137613932,374.233333333333,391.8,0.00641785106021189,500,"American","Caldor"
364,2,23.8952159881592,26.9454500183925,0.612705805519363,0.617666431899415,757.984783935547,921.251666666667,1046.4,0.015620409915642,500,"American","Caldor"
435,3,25.2697372436523,36.4908506458767,0.814088854954397,0.820637321902775,1018.81861463759,1251.48333333333,1449.96666666667,0.0206326860512313,500,"American","Caldor"
536,3,27.0806293487549,41.9928530293041,0.894670516116182,0.900335907129338,1140.9918572998,1375.72777777778,1561.2,0.0229863567700752,500,"American","Caldor"
669,3,26.3221435546875,45.6624563238356,0.894385965138725,0.900304577491867,1166.15346442329,1277.28777777778,1436.53333333333,0.022949276809591,500,"American","Caldor"
520,3,27.8494892120361,42.6447469859653,0.894184829411356,0.901832263039735,1200.86821695964,1145.92222222222,1358.6,0.0235145843474211,500,"American","Caldor"
428,3,28.8057823181152,38.7390373836623,0.89418937184434,0.90141767636847,1229.9970686849,1057.61666666667,1338.83333333333,0.022991497996664,500,"American","Caldor"
424,3,26.8739604949951,41.1933461615774,0.894257164169362,0.904103756658992,1244.35166646322,1040.31777777778,1382.46666666667,0.0219082273239049,500,"American","Caldor"
515,3,28.0430870056152,45.1020923262172,0.894186629206848,0.906058246224549,1227.33062852648,1064.87555555556,1371.66666666667,0.0220739704556548,500,"American","Caldor"
524,3,30.4296798706055,51.0166432619095,0.894099391780053,0.905699668552411,1177.79572406071,1143.87741935484,1404.09677419355,0.0215414052255803,500,"American","Caldor"
605,3,33.9965515136719,54.9875235801102,0.869970582819779,0.8815227019727,1122.21741044239,1268.30107526882,1548.09677419355,0.0235128159929732,500,"American","Caldor"
548,3,30.8524589538574,58.0080649579896,0.770856744669274,0.786109073138666,1051.83394097222,1314.30555555556,1652.3,0.0209835084287276,500,"American","Caldor"
606,3,19.1241569519043,56.9452314966917,0.692635817403983,0.718139079783319,993.458486802843,1154.55444444444,1582.06666666667,0.0167110093369383,500,"American","Caldor"
530,3,12.4506721496582,62.9970787924528,0.76429675730812,0.795082586610095,1042.96709791395,1043.79,1570.2,0.0196910519215391,500,"American","Caldor"
483,3,14.4571151733398,72.1939481131236,0.867682449073893,0.895871771595881,1129.5775116645,1085.33,1654.23333333333,0.0228784123228414,500,"American","Caldor"
417,3,14.5141048431396,72.6762705270449,0.835396047203879,0.864555584225002,1147.6314960395,978.012222222222,1580.63333333333,0.0225504217082612,500,"American","Caldor"
272,2,17.4029846191406,68.0026843114942,0.691570202062139,0.722221913482839,1084.96000759549,758.588888888889,1387.4,0.019267717783637,500,"American","Caldor"
264,2,20.6198425292969,35.0439530153324,0.330443554688504,0.346779582141252,560.691722208659,364.662222222222,706.866666666667,0.00934092691055819,500,"American","Caldor"
968,4,22.9823513031006,2.77565174304777,0.0270055265478893,0.0291102611900876,49.6838059488932,36.2255555555556,75.0666666666667,0.000777346961349429,500,"American","Caldor"
1071,4,25.3989658355713,0,0,0,0,0,0,0,500,"American","Caldor"
235,2,26.5740795135498,40.1559558084856,0.697867684423303,0.699144411093245,853.15283610026,1063.22666666667,1221.6,0.0168739919017636,500,"American","Caldor"
285,2,26.4880962371826,40.7317253290427,0.843756589162513,0.850067737802941,1051.14598480225,1337.47,1497.8,0.0212566683274089,500,"American","Caldor"
563,3,26.3868846893311,45.1910550859239,0.89323833990454,0.902595291571924,1132.21426669651,1380.12777777778,1623.26666666667,0.0229050913030102,500,"American","Caldor"
526,3,24.8162860870361,53.0109096044964,0.894091834874125,0.902961001590851,1153.88727803548,1298.36111111111,1539.9,0.0227167481854781,500,"American","Caldor"
587,3,24.1142826080322,58.0116268136766,0.893890507941703,0.900947300433569,1171.31083740234,1243.43888888889,1429.73333333333,0.0213592190886346,500,"American","Caldor"
634,3,26.3056678771973,50.3087320560879,0.893838241377509,0.900993936093162,1185.52776516385,1258.30222222222,1465.86666666667,0.021435539471616,500,"American","Caldor"
418,3,26.479284286499,42.4334752964973,0.893944018533997,0.900348590860894,1200.80230780707,1269.59555555556,1490.2,0.0244173471746415,500,"American","Caldor"
433,3,25.5506687164307,43.6997363776631,0.871615232695282,0.889081954137396,1197.83938279894,1199.63333333333,1505.4,0.0222885806608002,500,"American","Caldor"
665,3,27.283260345459,50.4052010485861,0.81176358534657,0.831352343010044,1135.7707413737,1160.61222222222,1480.13333333333,0.0181341101530261,500,"American","Caldor"
738,3,28.6514167785645,56.7284747572355,0.757934415411525,0.766912175358463,1066.69085732737,1232.04193548387,1447.48387096774,0.0172086688079637,500,"American","Caldor"
809,4,28.462121963501,62.2934083892453,0.687704215314294,0.699740714622631,1007.97519879085,1310.54301075269,1586.12903225806,0.0171390516872359,500,"American","Caldor"
698,3,20.9330177307129,68.2068136893378,0.585574176711056,0.609895759067731,941.956263156467,1406.58666666667,1867.83333333333,0.0158367641957379,500,"American","Caldor"
579,3,11.1705875396729,65.4378237167994,0.576376256283321,0.608271658557804,924.560569864909,1472.44,2002.66666666667,0.0149496517453347,500,"American","Caldor"
837,4,15.2298030853271,63.6425547324287,0.681267774019054,0.707635933287157,979.25407667372,1477.45333333333,1971.03333333333,0.0179636932961514,500,"American","Caldor"
700,3,17.2281761169434,69.7907074594498,0.806253421175061,0.824685997617069,1059.96683532715,1501.54888888889,1897.06666666667,0.0208661766945499,500,"American","Caldor"
659,3,16.5439987182617,72.5613407243623,0.77683328802167,0.805766013489984,1070.87689900716,1386.23333333333,1822.7,0.0200055284488702,500,"American","Caldor"
348,2,15.1516151428223,65.296505942742,0.559829233329252,0.601983027554686,936.688255343967,1000.82,1553.6,0.0149737087656654,500,"American","Caldor"
335,2,17.4126873016357,41.502357034021,0.276303245992814,0.301193281726705,568.915565321181,508.377777777778,889.2,0.00781702903064264,500,"American","Caldor"
310,2,20.315336227417,12.7686993633376,0.0687022420408256,0.0726724912869071,173.836318155924,159.77,258.833333333333,0.00199488335360763,500,"American","Caldor"
1010,4,23.5911769866943,3.38251535415649,0.011418984117659,0.0114611107729272,35.2964082845052,40.1622222222222,43.8,0.000211174126219097,500,"American","Caldor"
449,3,28.9839706420898,45.8601465670268,0.893772200064268,0.897504966135602,1084.70974121094,1522.34666666667,1777.4,0.0213626336310733,500,"American","Caldor"
251,2,28.4881439208984,50.610530860424,0.893884345697782,0.912033986971946,1105.53399831136,1620.21333333333,1889.05,0.0220381478986548,500,"American","Caldor"
