"dNBR","severity","slope","mass_burnt_pct","surface_consumption","surface_remaining","canopy_consumption","canopy_remaining","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
681,3,18.1487236022949,0,0,1,0,0.9,0,0,0,0,"duet","American","Caldor"
299,2,20.2037334442139,0,0,1,0,0.895652173913044,0,0,0,0,"duet","American","Caldor"
383,3,20.8985195159912,0,0,1,0,0.915555555555556,0,0,0,0,"duet","American","Caldor"
364,2,21.3516387939453,0,0,1,0,0.928888888888889,0,0,0,0,"duet","American","Caldor"
424,3,23.7099723815918,1.27548866695828,0.0323639992209376,0.967636000779062,0.000962567014306676,0.937926321874582,31.5309978569878,39.8933333333333,47.3,0.000483495139607671,"duet","American","Caldor"
462,3,25.9166107177734,9.18845546550221,0.30043060759751,0.699569392402489,0.00980005420620786,0.951311056904903,281.254668579102,383.125555555556,476.133333333333,0.00428396492856456,"duet","American","Caldor"
541,3,26.9090824127197,23.3821310191684,0.723173494924493,0.276826505075507,0.0238854823015443,0.921670073254012,671.085129733615,944.396666666667,1120.16666666667,0.00971233491951301,"duet","American","Caldor"
475,3,30.3787403106689,32.201102357573,0.953141954737925,0.046858045262075,0.0238492462935842,0.895039642595304,878.41425374349,1320.58888888889,1471.4,0.0118043339079554,"duet","American","Caldor"
664,3,32.658031463623,37.9014041739125,0.995856003893735,0.00414399610626531,0.0172440094474814,0.905336635713809,921.239546974756,1505.55698924731,1626.38709677419,0.0128436924327399,"duet","American","Caldor"
564,3,31.7751483917236,44.7991579450587,0.995573142819248,0.00442685718075176,0.0183209985790394,0.908560721851068,929.73986921413,1705.76344086022,1827.51612903226,0.0135230851369254,"duet","American","Caldor"
654,3,31.7093925476074,46.3894866818852,0.995217825217255,0.00478217478274487,0.0279358632966502,0.904286358925572,930.553060574002,1884.56111111111,2025.73333333333,0.0133197145014942,"duet","American","Caldor"
709,3,31.6222591400146,43.6007346596983,0.995354395096133,0.00464560490386701,0.0358207090878334,0.885290402023278,938.546320122613,1824.76777777778,1982.13333333333,0.0134279197823733,"duet","American","Caldor"
677,3,32.6621856689453,43.3542809353934,0.995611725062531,0.00438827493746883,0.0353174706916441,0.878015862641689,968.947890082465,1448.58444444444,1608.16666666667,0.0134811001141397,"duet","American","Caldor"
603,3,29.3071994781494,51.102682974471,0.995847875951952,0.00415212404804766,0.0530841159057779,0.883582550760888,1022.7205464681,1019.60333333333,1326.06666666667,0.014162799338521,"duet","American","Caldor"
879,4,23.8858375549316,58.080437565926,0.976600595389205,0.0233994046107958,0.0731489333022765,0.829073288919945,1024.15203735352,786.736666666667,1229.63333333333,0.0146326375631632,"duet","American","Caldor"
700,3,29.5564346313477,56.9204222903483,0.886163892059366,0.113836107940635,0.093946639067892,0.73827558315433,864.238645833333,699.707777777778,1132.16666666667,0.0134971941357864,"duet","American","Caldor"
547,3,36.4876441955566,56.9497422674381,0.829460965389864,0.170539034610136,0.139111007791894,0.678666769985884,708.24166080051,733.352222222222,1241.43333333333,0.0122066722018306,"duet","American","Caldor"
533,3,38.4013519287109,56.4612047674617,0.79518695221172,0.204813047788281,0.152984926701193,0.661829888113623,645.915175430863,715.340740740741,1245.55555555556,0.0112868100717109,"duet","American","Caldor"
627,3,38.7461700439453,45.8623236815135,0.553300017886624,0.446699982113376,0.0904328495297188,0.642900483803614,469.964299180773,463.533333333333,706.333333333333,0.00814382824137283,"duet","American","Caldor"
273,2,21.9703388214111,0,0,1,0,0.925,0,0,0,0,"duet","American","Caldor"
360,2,22.420955657959,0,0,1,0,0.917391304347826,0,0,0,0,"duet","American","Caldor"
489,3,22.6357879638672,0,0,1,0,0.921111111111111,0,0,0,0,"duet","American","Caldor"
485,3,23.2202625274658,1.15930937151114,0.0361954765057415,0.963804523494259,0.0011046724588127,0.930006438652298,36.566064046224,47.9777777777778,52,0.00049759888847196,"duet","American","Caldor"
440,3,25.1558513641357,11.2265436447329,0.287730498593563,0.712269501406437,0.0181596205595285,0.922951490551582,277.261552937826,366.451111111111,437.6,0.0038046364620771,"duet","American","Caldor"
430,3,25.1551780700684,24.8605686889754,0.731959440847801,0.268040559152198,0.036488925351231,0.922399963537657,693.265391235352,942.261111111111,1153.7,0.0103355933711371,"duet","American","Caldor"
431,3,26.5573310852051,28.8684266393714,0.978541082275867,0.0214589177241342,0.0252027585189754,0.933686130369912,935.022373657227,1260.98888888889,1491.46666666667,0.0138782951631803,"duet","American","Caldor"
458,3,30.4195404052734,32.309450725317,0.996165404332508,0.00383459566749201,0.0136457494986587,0.903020917168007,961.831275092231,1320.57111111111,1449.16666666667,0.0131907659848789,"duet","American","Caldor"
504,3,29.6484336853027,36.2267790576463,0.995965703960232,0.00403429603976832,0.0135523567596525,0.884297105605938,955.733362472698,1435.83440860215,1533.38709677419,0.0138155012241637,"duet","American","Caldor"
