"Fire_State","Fire_Name","Site_Name","X","Y"
"CA","KNP","KNP4",-1997854.71239436,1735954.3636866
"CA","KNP","KNP5",-2008311.27773082,1752022.39782289
"CA","KNP","KNP6",-1996490.44411275,1730324.61564816
"CA","KNP","KNP7",-2009988.06346105,1749666.23756614
"CA","KNP","KNP8",-2009208.28351689,1751380.0339971
"CA","KNP","KNP9",-1999499.85030834,1728394.38620602
"CA","KNP","KNP10",-1997209.12146668,1731662.8904104
"CA","KNP","KNP11",-2003812.63213941,1746039.05650702
"CA","KNP","KNP12",-2007933.68650509,1747474.49522346
"CA","KNP","KNP13",-2008297.99028908,1743523.21610127
"CA","KNP","KNP14",-2003595.83494561,1741766.82208865
"CA","KNP","KNP15",-2006966.34765597,1742412.04932852
"CA","KNP","KNP16",-2000529.60295028,1734258.43859853
"CA","KNP","KNP17",-1996971.42320993,1736539.73335715
"CA","KNP","KNP18",-2009855.93624432,1744533.62218356
"CA","KNP","KNP19",-2008918.54555924,1760155.47607008
"CA","KNP","KNP20",-2005141.18935792,1741168.58599686
"WA","CedarCreek","Ced1",-1798875.83298078,3062881.70262303
"WA","CedarCreek","Ced2",-1801681.27011103,3069351.5644275
"WA","CedarCreek","Ced3",-1805307.98856544,3072585.04084909
"WA","CedarCreek","Ced4",-1803432.31513293,3070219.23778671
"WA","CedarCreek","Ced5",-1802185.53581619,3073927.50728012
"WA","CedarCreek","Ced6",-1802973.08932255,3063567.19070228
"WA","CedarCreek","Ced7",-1804430.75962695,3062924.48821536
"WA","CedarCreek","Ced8",-1801133.72762756,3063498.29586007
"WA","CedarCreek","Ced9",-1798021.36209987,3061422.57424662
"WA","CedarCreek","Ced10",-1799234.55959091,3069749.69941428
"WA","CedarCreek","Ced11",-1806810.85153383,3063024.8923986
"WA","CedarCreek","Ced12",-1807157.11354274,3071890.46840806
"WA","CedarCreek","Ced13",-1806336.50724652,3070994.57157906
"WA","CedarCreek","Ced14",-1796899.26927921,3063397.60812893
"WA","CedarCreek","Ced15",-1807886.1276186,3066617.6445985
"WA","CedarCreek","Ced16",-1801145.34237125,3061064.47053416
"WA","CedarCreek","Ced17",-1799893.19307877,3072743.47985101
"WA","CedarCreek","Ced18",-1798650.2937201,3064782.77210977
"WA","CedarCreek","Ced19",-1802130.91772587,3073081.48215057
"WA","CedarCreek","Ced20",-1796618.85943709,3061076.30785591
"WA","CubCreek2","Cub1",-1786972.35978244,3089908.39385769
"WA","CubCreek2","Cub2",-1784329.12799397,3080486.10964639
"WA","CubCreek2","Cub3",-1781168.34996654,3085887.8532106
"WA","CubCreek2","Cub4",-1785118.94023937,3079621.16247569
"WA","CubCreek2","Cub5",-1778094.19788017,3069911.23525382
"WA","CubCreek2","Cub6",-1779666.61327706,3085973.52567602
"WA","CubCreek2","Cub7",-1788346.74365015,3078560.98449909
"WA","CubCreek2","Cub8",-1786322.02263884,3087372.62252163
"WA","CubCreek2","Cub9",-1775653.94867295,3071321.81104376
"WA","CubCreek2","Cub10",-1778744.59755649,3085776.05675123
"WA","CubCreek2","Cub11",-1779305.62887458,3071700.59332534
"WA","CubCreek2","Cub12",-1779170.29052185,3068692.28901638
"WA","CubCreek2","Cub13",-1777911.42149909,3073606.27023952
"WA","CubCreek2","Cub14",-1777751.1916627,3068278.34212463
"WA","CubCreek2","Cub15",-1789226.90512022,3078386.4027628
"WA","CubCreek2","Cub16",-1774215.65107855,3067256.09301449
"WA","CubCreek2","Cub17",-1788558.1789255,3078825.18640135
"WA","CubCreek2","Cub18",-1779923.33269946,3080050.087673
"WA","CubCreek2","Cub19",-1779948.27942325,3069851.29156439
"WA","CubCreek2","Cub20",-1777354.24297085,3083813.03164082
